Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Keenan Allen,2021,WR,7,257.8,1,0,0,0,0,1,0,0,0,0,106,1138,6,0,0,0
James Conner,2021,RB,12,257.7,0,0,0,0,0,0,202,752,15,0,37,375,3,0,0,0
Derek Carr,2021,QB,8,257.0,626,428,4804,23,14,0,40,108,0,0,0,0,0,0,5,0
Leonard Fournette,2021,RB,9,255.6,1,0,0,0,0,0,180,812,8,0,69,454,2,0,0,0
Ezekiel Elliott,2021,RB,7,252.1,1,1,4,0,0,0,237,1002,10,3,47,287,2,0,1,0
Mike Williams,2021,WR,7,246.6,0,0,0,0,0,0,0,0,0,0,76,1146,9,1,0,0
Jaylen Waddle,2021,WR,14,245.8,0,0,0,0,0,0,2,3,1,0,104,1015,6,0,1,0
D.K. Metcalf,2021,WR,9,244.3,0,0,0,0,0,0,1,6,0,0,75,967,12,0,0,0
Russell Wilson,2021,QB,9,242.8,400,259,3113,25,6,1,43,183,2,0,0,0,0,0,1,0
Chris Godwin,2021,WR,9,242.4,0,0,0,0,0,0,4,21,1,0,98,1103,5,0,2,0
Tyler Lockett,2021,WR,9,241.4,0,0,0,0,0,0,2,9,0,0,73,1175,8,1,0,0
Lamar Jackson,2021,QB,8,240.0,382,246,2882,16,13,2,133,767,2,0,0,0,0,0,3,0
Michael Pittman,2021,WR,14,238.6,0,0,0,0,0,0,5,44,0,0,88,1082,6,1,0,0
D.J. Moore,2021,WR,13,237.5,0,0,0,0,0,0,8,48,0,0,93,1157,4,1,1,0
Alvin Kamara,2021,RB,6,234.7,0,0,0,0,0,0,240,898,4,0,47,439,5,0,0,0
Cordarrelle Patterson,2021,RB,6,234.6,1,0,0,0,0,0,153,618,6,0,52,548,5,0,0,0
CeeDee Lamb,2021,WR,7,232.8,0,0,0,0,0,0,9,76,0,0,79,1102,6,0,0,0
Brandin Cooks,2021,WR,10,231.8,0,0,0,0,0,0,2,21,0,0,90,1037,6,0,0,0
Antonio Gibson,2021,RB,9,229.1,0,0,0,0,0,0,258,1037,7,1,42,294,3,0,4,0
Aaron Jones,2021,RB,13,229.0,0,0,0,0,0,0,171,799,4,0,52,391,6,0,1,0
Jimmy Garoppolo,2021,QB,6,227.5,441,301,3810,20,12,1,38,51,3,0,0,0,0,0,3,0
Amon-Ra St. Brown,2021,WR,9,227.3,0,0,0,0,0,0,7,61,1,0,90,912,5,2,0,0
Marquise Brown,2021,WR,8,226.3,0,0,0,0,0,0,1,5,0,0,91,1008,6,0,1,0
Josh Jacobs,2021,RB,8,226.0,0,0,0,0,0,0,217,872,9,0,54,348,0,0,2,0
Mac Jones,2021,QB,14,224.9,521,352,3801,22,13,2,44,129,0,0,0,0,0,0,3,0
Taylor Heinicke,2021,QB,9,222.9,494,321,3419,20,15,0,60,313,1,1,1,-2,0,0,2,0
Matt Ryan,2021,QB,6,222.9,560,375,3968,20,12,0,40,82,1,1,0,0,0,0,4,0
Darnell Mooney,2021,WR,10,219.7,0,0,0,0,0,0,6,32,1,0,81,1055,4,0,0,0
