Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD,ID
L. Hawkins,2010,WR,9,11.1,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0,hawkila01
S. Spach,2010,TE,6,11.0,0,0,0,0,0,0,0,0,0,0,7,40,0,0,0,0,spachst01
M. Brunell,2010,QB,7,10.7,13,7,117,2,1,0,0,0,0,0,0,0,0,0,0,0,brunema01
T. Fiammetta,2010,RB,6,10.6,0,0,0,0,0,0,7,22,0,0,5,34,0,0,0,0,fiammto01
M. Gilyard,2010,WR,9,10.3,0,0,0,0,0,0,0,0,0,0,6,63,0,0,1,0,gilyama01
K. Toston,2010,RB,9,10.3,0,0,0,0,0,0,19,54,0,0,2,29,0,0,0,0,tostoke01
G. Robinson,2010,TE,7,10.2,0,0,0,0,0,0,0,0,0,0,3,12,1,0,0,0,robingi02
T. Crabtree,2010,TE,10,10.1,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0,crabtto01
B. James,2010,RB,7,10.0,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,0,jamesbr03
D. Dixon,2010,QB,5,9.4,32,22,254,0,1,0,5,32,0,0,0,0,0,0,1,0,dixonde01
T. Richardson,2010,RB,7,9.4,0,0,0,0,0,0,5,13,0,0,5,31,0,0,0,0,richato01
D. Young,2010,RB,9,9.2,0,0,0,0,0,0,4,19,0,0,1,3,1,0,0,0,youngda04
L. Paulsen,2010,TE,9,9.0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,0,paulslo01
B. Eldridge,2010,TE,7,8.9,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0,eldribr01
P. Parker,2010,WR,4,8.9,0,0,0,0,0,0,1,7,0,0,4,42,0,0,0,0,parkepr01
K. Davis,2010,TE,8,8.9,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,daviske04
R. Purvis,2010,TE,4,8.8,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0,purviry01
D. Johnson,2010,RB,5,8.6,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0,johnsda10
J. Johnson,2010,QB,4,8.3,16,14,111,0,0,0,4,39,0,0,0,0,0,0,0,0,johnsjo14
J. Dray,2010,TE,6,7.7,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,drayji01
